id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,seed
0,reference/00000.png,search/00000.png,382.654311132431,753.4,333.7,703.4,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
1,reference/00001.png,search/00001.png,438.74461098909376,652.3,389.4,602.3,100,100,finfet_7nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
2,reference/00002.png,search/00002.png,422.8051205635071,260.0,373.6,210.0,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
3,reference/00003.png,search/00003.png,370.5872164964676,175.2,321.0,125.2,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
4,reference/00004.png,search/00004.png,154.44265851974487,932.8,105.6,882.8,100,100,finfet_28nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
5,reference/00005.png,search/00005.png,839.9836595535278,122.8,790.8,72.8,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
6,reference/00006.png,search/00006.png,211.81666306257247,528.0,162.6,478.0,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
7,reference/00007.png,search/00007.png,453.65953574180605,278.2,404.6,228.2,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
8,reference/00008.png,search/00008.png,163.72749940566717,387.6,113.7,337.6,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
9,reference/00009.png,search/00009.png,697.655953335762,498.2,648.3,448.2,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
10,reference/00010.png,search/00010.png,220.6556433081627,539.6,171.4,489.6,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
11,reference/00011.png,search/00011.png,339.9019708871841,901.9,291.4,851.9,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
12,reference/00012.png,search/00012.png,440.9363303184509,861.8,392.0,811.8,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
13,reference/00013.png,search/00013.png,409.40776349306105,679.0,360.2,629.0,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
14,reference/00014.png,search/00014.png,211.99650678634643,152.6,163.1,102.6,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
15,reference/00015.png,search/00015.png,281.06603012084963,727.1,231.6,677.1,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
16,reference/00016.png,search/00016.png,624.8061185836792,399.8,576.6,349.8,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
17,reference/00017.png,search/00017.png,630.6525175571442,322.3,581.0,272.3,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
18,reference/00018.png,search/00018.png,155.413598549366,935.3,106.2,885.3,100,100,finfet_7nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
19,reference/00019.png,search/00019.png,181.02946226596833,220.4,131.3,170.4,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
